06/05/2017 19:04:36 | SyncInvokesetFromWebPart | 026391943199

06/05/2017 19:04:36 | SyncInvokesetFromWebPart | Le processus ne peut pas accéder au fichier 'D:\PROJETIWEBS\IWEB EN COURS\Galatee\Galatee.WcfService\App_Data\LOG GALATEE\PrintingsService\Log_Galatee_Du_06052017.txt', car il est en cours d'utilisation par un autre processus.

06/05/2017 19:04:37 | Callback | localhost1818

06/05/2017 19:04:46 | RenderReport | loadData

06/05/2017 19:04:46 | RenderReport | 026391943199

06/05/2017 19:04:46 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

06/05/2017 19:04:46 | SyncInvokeGetCsPrintFromWebPart | 026391943199

06/05/2017 19:04:46 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

06/05/2017 19:04:48 | LoadData | 026391943199

06/05/2017 19:04:48 | LoadData | données trouve

06/05/2017 19:04:48 | LoadData | Parametre non trouvé

06/05/2017 19:04:48 | data | data trouve data count: 36399

06/05/2017 19:04:48 | ExportChemin | ~/Reports/InterfaceComptable/BalanceAuxilliaire.rdlc | Chemin du fichier rdlc

06/05/2017 19:04:48 | ExportChemin | reportDataSource creer OK,rdlc :BalanceAuxilliaire

06/05/2017 19:04:48 | ExportChemin | report.DataSources.Add OK

06/05/2017 19:04:48 | Page_Load | RenderReport retour ok

06/05/2017 19:04:48 | RunExportFile | ICI112

06/05/2017 19:08:25 | RunExportFile | ICI114

06/05/2017 19:08:25 | RunExportFile | ICI115

06/05/2017 19:08:25 | RunExportFile | ICI116

06/05/2017 19:08:25 | Page_Load | ICI3

06/05/2017 19:20:06 | SyncInvokesetFromWebPart | 0263919200949

06/05/2017 19:20:10 | SyncInvokesetFromWebPart | 02639191949548

06/05/2017 19:20:10 | Callback | localhost1818

06/05/2017 19:20:10 | Callback | localhost1818

06/05/2017 19:20:15 | RenderReport | loadData

06/05/2017 19:20:15 | RenderReport | loadData

06/05/2017 19:20:15 | RenderReport | 0263919200949

06/05/2017 19:20:15 | RenderReport | 02639191949548

06/05/2017 19:20:16 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

06/05/2017 19:20:16 | SyncInvokeGetCsPrintFromWebPart | 0263919200949

06/05/2017 19:20:16 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

06/05/2017 19:20:16 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

06/05/2017 19:20:16 | SyncInvokeGetCsPrintFromWebPart | 02639191949548

06/05/2017 19:20:16 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

06/05/2017 19:20:16 | LoadData | 0263919200949

06/05/2017 19:20:16 | LoadData | données trouve

06/05/2017 19:20:16 | LoadData | Parametre non trouvé

06/05/2017 19:20:16 | data | data trouve data count: 12935

06/05/2017 19:20:16 | LoadData | 02639191949548

06/05/2017 19:20:16 | LoadData | données trouve

06/05/2017 19:20:17 | LoadData | Parametre non trouvé

06/05/2017 19:20:17 | data | data trouve data count: 23464

06/05/2017 19:20:17 | ExportChemin | ~/Reports/InterfaceComptable/BalanceAuxilliaire.rdlc | Chemin du fichier rdlc

06/05/2017 19:20:17 | ExportChemin | reportDataSource creer OK,rdlc :BalanceAuxilliaire

06/05/2017 19:20:17 | ExportChemin | report.DataSources.Add OK

06/05/2017 19:20:17 | Page_Load | RenderReport retour ok

06/05/2017 19:20:17 | RunExportFile | ICI112

06/05/2017 19:20:17 | ExportChemin | ~/Reports/InterfaceComptable/BalanceAuxilliaire.rdlc | Chemin du fichier rdlc

06/05/2017 19:20:17 | ExportChemin | reportDataSource creer OK,rdlc :BalanceAuxilliaire

06/05/2017 19:20:17 | ExportChemin | report.DataSources.Add OK

06/05/2017 19:20:17 | Page_Load | RenderReport retour ok

06/05/2017 19:20:17 | RunExportFile | ICI112

06/05/2017 19:22:14 | RunExportFile | ICI114

06/05/2017 19:22:14 | RunExportFile | ICI115

06/05/2017 19:22:14 | RunExportFile | ICI116

06/05/2017 19:22:14 | Page_Load | ICI3

06/05/2017 19:23:16 | RunExportFile | ICI114

06/05/2017 19:23:16 | RunExportFile | ICI115

06/05/2017 19:23:16 | RunExportFile | ICI116

06/05/2017 19:23:16 | Page_Load | ICI3

