31/05/2017 00:29:20 | SyncInvokesetFromWebPart | 0263902918574

31/05/2017 00:29:44 | Callback | localhost1818

31/05/2017 00:29:44 | RenderReport | loadData

31/05/2017 00:29:44 | RenderReport | 0263902918574

31/05/2017 00:29:44 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

31/05/2017 00:29:44 | SyncInvokeGetCsPrintFromWebPart | 0263902918574

31/05/2017 00:29:44 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

31/05/2017 00:29:45 | LoadData | 0263902918574

31/05/2017 00:29:45 | LoadData | données trouve

31/05/2017 00:29:45 | LoadData | Parametre non trouvé

31/05/2017 00:29:45 | data | data trouve

31/05/2017 00:29:45 | CreatePDFChemin | ~/Reports/Devis/FicheProgrammation.rdlc | Chemin du fichier rdlc

31/05/2017 00:29:45 | CreatePDFChemin | Add DataSources ok

31/05/2017 00:29:45 | RunCreationPDF | \\LAP-SI-GAL-10\Impression

31/05/2017 02:08:56 | SyncInvokesetFromWebPart | 022992854408

31/05/2017 02:08:59 | Callback | localhost1818

31/05/2017 02:09:00 | RenderReport | loadData

31/05/2017 02:09:00 | RenderReport | 022992854408

31/05/2017 02:09:00 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

31/05/2017 02:09:00 | SyncInvokeGetCsPrintFromWebPart | 022992854408

31/05/2017 02:09:00 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

31/05/2017 02:09:01 | LoadData | 022992854408

31/05/2017 02:09:01 | LoadData | données trouve

31/05/2017 02:09:01 | LoadData | Parametre non trouvé

31/05/2017 02:09:01 | data | data trouve

31/05/2017 02:09:01 | CreatePDFChemin | ~/Reports/Reclamation/FicheDeTravail.rdlc | Chemin du fichier rdlc

31/05/2017 02:09:01 | CreatePDFChemin | Add DataSources ok

31/05/2017 02:09:01 | RunCreationPDF | \\LAP-SI-GAL-10\Impression

31/05/2017 02:46:16 | SyncInvokesetFromWebPart | 0263924615640

