15/06/2017 14:46:42 | SyncInvokesetFromWebPart | 02639144641885

15/06/2017 14:46:52 | Callback | localhost1818

15/06/2017 14:46:52 | RenderReport | loadData

15/06/2017 14:46:52 | RenderReport | 02639144641885

15/06/2017 14:46:52 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

15/06/2017 14:46:52 | SyncInvokeGetCsPrintFromWebPart | 02639144641885

15/06/2017 14:46:52 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

15/06/2017 14:46:53 | LoadData | 02639144641885

15/06/2017 14:46:53 | LoadData | données trouve

15/06/2017 14:46:53 | LoadData | Parametre non trouvé

15/06/2017 14:46:53 | data | data trouve

15/06/2017 14:46:53 | CreatePDFChemin | ~/Reports/Accueil/LiaisonCompteur.rdlc | Chemin du fichier rdlc

15/06/2017 14:46:53 | CreatePDFChemin | Add DataSources ok

15/06/2017 14:46:53 | RunCreationPDF | \\PC\Impression

15/06/2017 15:01:05 | SyncInvokesetFromWebPart | 026391515580

15/06/2017 15:01:06 | Callback | localhost1818

15/06/2017 15:01:06 | RenderReport | loadData

15/06/2017 15:01:06 | RenderReport | 026391515580

15/06/2017 15:01:06 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

15/06/2017 15:01:06 | SyncInvokeGetCsPrintFromWebPart | 026391515580

15/06/2017 15:01:06 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

15/06/2017 15:01:06 | LoadData | 026391515580

15/06/2017 15:01:06 | LoadData | données trouve

15/06/2017 15:01:06 | LoadData | Parametre non trouvé

15/06/2017 15:01:07 | data | data trouve

15/06/2017 15:01:07 | CreatePDFChemin | ~/Reports/Accueil/LiaisonCompteur.rdlc | Chemin du fichier rdlc

15/06/2017 15:01:07 | CreatePDFChemin | Add DataSources ok

15/06/2017 15:01:07 | RunCreationPDF | \\PC\Impression

15/06/2017 15:02:10 | SyncInvokesetFromWebPart | 0263915210870

15/06/2017 15:02:10 | Callback | localhost1818

15/06/2017 15:02:11 | RenderReport | loadData

15/06/2017 15:02:11 | RenderReport | 0263915210870

15/06/2017 15:02:11 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

15/06/2017 15:02:11 | SyncInvokeGetCsPrintFromWebPart | 0263915210870

15/06/2017 15:02:11 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

15/06/2017 15:02:11 | LoadData | 0263915210870

15/06/2017 15:02:11 | LoadData | données trouve

15/06/2017 15:02:11 | LoadData | Parametre non trouvé

15/06/2017 15:02:11 | data | data trouve

15/06/2017 15:02:11 | CreatePDFChemin | ~/Reports/Accueil/LiaisonCompteur.rdlc | Chemin du fichier rdlc

15/06/2017 15:02:11 | CreatePDFChemin | Add DataSources ok

15/06/2017 15:02:11 | RunCreationPDF | \\PC\Impression

