03/11/2017 12:26:31 | SyncInvokesetFromWebPart | 02299122630948

03/11/2017 12:26:33 | Callback | localhost1818

03/11/2017 12:26:33 | RenderReport | loadData

03/11/2017 12:26:33 | RenderReport | 02299122630948

03/11/2017 12:26:33 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

03/11/2017 12:26:33 | SyncInvokeGetCsPrintFromWebPart | 02299122630948

03/11/2017 12:26:33 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

03/11/2017 12:26:33 | LoadData | 02299122630948

03/11/2017 12:26:33 | LoadData | données trouve

03/11/2017 12:26:33 | LoadData | Parametre trouvé

03/11/2017 12:26:34 | data | data trouve data count: 6

03/11/2017 12:26:36 | Page_Load | RenderReport retour ok

03/11/2017 12:26:36 | RunExportFile | \\PC\Impression|FactureAnnulation3112017122636|xlsx

03/11/2017 12:26:39 | RunExportFile | Générer byte

03/11/2017 12:26:39 | RunExportFile | Initialiser le filsStream

03/11/2017 12:26:39 | RunExportFile | Création du fichier

03/11/2017 12:26:39 | Page_Load | ICI3

03/11/2017 14:46:31 | PrintingFromService | 01485144631538

03/11/2017 14:46:32 | Callback | localhost1818

03/11/2017 14:46:32 | RenderReport | loadData

03/11/2017 14:46:32 | RenderReport | 01485144631538

03/11/2017 14:46:32 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

03/11/2017 14:46:32 | SyncInvokeGetCsPrintFromWebPart | 01485144631538

03/11/2017 14:46:32 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

03/11/2017 14:46:32 | LoadData | 01485144631538

03/11/2017 14:46:32 | LoadData | données trouve

03/11/2017 14:46:33 | LoadData | Parametre trouvé

03/11/2017 14:46:33 | data | data trouve data count: 16

03/11/2017 14:46:34 | Page_Load | RenderReport retour ok

03/11/2017 14:46:34 | RunExportFile | \\PC\Impression|FactureSimple01770801A3112017144634|pdf

03/11/2017 14:46:37 | Page_Load | ICI3

03/11/2017 15:46:14 | SyncInvokesetFromWebPart | 0148515461422

03/11/2017 15:46:14 | Callback | localhost1818

03/11/2017 15:46:15 | RenderReport | loadData

03/11/2017 15:46:15 | RenderReport | 0148515461422

03/11/2017 15:46:15 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

03/11/2017 15:46:15 | SyncInvokeGetCsPrintFromWebPart | 0148515461422

03/11/2017 15:46:15 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

03/11/2017 15:46:15 | LoadData | 0148515461422

03/11/2017 15:46:15 | LoadData | données trouve

03/11/2017 15:46:15 | LoadData | Parametre trouvé

03/11/2017 15:46:15 | data | data trouve data count: 6

03/11/2017 15:46:16 | Page_Load | RenderReport retour ok

03/11/2017 15:46:16 | RunExportFile | \\PC\Impression|FactureAnnulation3112017154616|xlsx

03/11/2017 15:46:17 | RunExportFile | Générer byte

03/11/2017 15:46:17 | RunExportFile | Initialiser le filsStream

03/11/2017 15:46:17 | RunExportFile | Création du fichier

03/11/2017 15:46:17 | Page_Load | ICI3

03/11/2017 15:46:24 | SyncInvokesetFromWebPart | 01485154624173

03/11/2017 15:46:24 | Callback | localhost1818

03/11/2017 15:46:24 | RenderReport | loadData

03/11/2017 15:46:24 | RenderReport | 01485154624173

03/11/2017 15:46:24 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

03/11/2017 15:46:24 | SyncInvokeGetCsPrintFromWebPart | 01485154624173

03/11/2017 15:46:24 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

03/11/2017 15:46:24 | LoadData | 01485154624173

03/11/2017 15:46:24 | LoadData | données trouve

03/11/2017 15:46:24 | LoadData | Parametre trouvé

03/11/2017 15:46:24 | data | data trouve data count: 6

03/11/2017 15:46:24 | Page_Load | RenderReport retour ok

03/11/2017 15:46:24 | RunExportFile | \\PC\Impression|FactureAnnulation3112017154624|pdf

03/11/2017 15:46:25 | Page_Load | ICI3

03/11/2017 15:47:05 | SyncInvokesetFromWebPart | 0148515475728

03/11/2017 15:47:05 | Callback | localhost1818

03/11/2017 15:47:05 | RenderReport | loadData

03/11/2017 15:47:05 | RenderReport | 0148515475728

03/11/2017 15:47:05 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

03/11/2017 15:47:05 | SyncInvokeGetCsPrintFromWebPart | 0148515475728

03/11/2017 15:47:05 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

03/11/2017 15:47:05 | LoadData | 0148515475728

03/11/2017 15:47:05 | LoadData | données trouve

03/11/2017 15:47:05 | LoadData | Parametre trouvé

03/11/2017 15:47:05 | data | data trouve data count: 6

03/11/2017 15:47:06 | Page_Load | RenderReport retour ok

03/11/2017 15:47:06 | RunExportFile | \\PC\Impression|FactureAnnulation311201715476|pdf

03/11/2017 15:47:06 | Page_Load | ICI3

03/11/2017 15:49:27 | SyncInvokesetFromWebPart | 01485154927328

03/11/2017 15:49:27 | Callback | localhost1818

03/11/2017 15:49:27 | RenderReport | loadData

03/11/2017 15:49:27 | RenderReport | 01485154927328

03/11/2017 15:49:27 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

03/11/2017 15:49:27 | SyncInvokeGetCsPrintFromWebPart | 01485154927328

03/11/2017 15:49:27 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

03/11/2017 15:49:27 | LoadData | 01485154927328

03/11/2017 15:49:27 | LoadData | données trouve

03/11/2017 15:49:27 | LoadData | Parametre trouvé

03/11/2017 15:49:27 | data | data trouve data count: 6

03/11/2017 15:49:27 | Page_Load | RenderReport retour ok

03/11/2017 15:49:27 | RunExportFile | \\PC\Impression|FactureAnnulation3112017154927|xlsx

03/11/2017 15:49:28 | RunExportFile | Générer byte

