13/03/2019 17:24:15 | SyncInvokesetFromWebPart | 01312172415447

13/03/2019 17:24:21 | Callback | localhost1818

13/03/2019 17:24:21 | RenderReport | loadData

13/03/2019 17:24:22 | RenderReport | 01312172415447

13/03/2019 17:24:22 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

13/03/2019 17:24:22 | SyncInvokeGetCsPrintFromWebPart | 01312172415447

13/03/2019 17:24:22 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

13/03/2019 17:24:22 | LoadData | 01312172415447

13/03/2019 17:24:22 | LoadData | données trouve

13/03/2019 17:24:22 | LoadData | Parametre non trouvé

13/03/2019 17:24:22 | data | data trouve

13/03/2019 17:24:22 | CreatePDFChemin | ~/Reports/Accueil/AccuseRecption.rdlc | Chemin du fichier rdlc

13/03/2019 17:24:22 | CreatePDFChemin | Add DataSources ok

13/03/2019 17:24:22 | RunCreationPDF | \\IV-DEV-LAP-001\Impression

13/03/2019 18:11:24 | SyncInvokesetFromWebPart | 01312181124142

13/03/2019 18:11:25 | Callback | localhost1818

13/03/2019 18:11:25 | RenderReport | loadData

13/03/2019 18:11:25 | RenderReport | 01312181124142

13/03/2019 18:11:25 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

13/03/2019 18:11:25 | SyncInvokeGetCsPrintFromWebPart | 01312181124142

13/03/2019 18:11:25 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

13/03/2019 18:11:25 | LoadData | 01312181124142

13/03/2019 18:11:25 | LoadData | données trouve

13/03/2019 18:11:26 | LoadData | Parametre non trouvé

13/03/2019 18:11:26 | data | data trouve

13/03/2019 18:11:26 | CreatePDFChemin | ~/Reports/Accueil/AccuseRecption.rdlc | Chemin du fichier rdlc

13/03/2019 18:11:26 | CreatePDFChemin | Add DataSources ok

13/03/2019 18:11:26 | RunCreationPDF | \\IV-DEV-LAP-001\Impression

