17/12/2017 21:44:51 | SyncInvokesetFromWebPart | 01312214451914

17/12/2017 21:44:52 | Callback | localhost1818

17/12/2017 21:44:52 | RenderReport | loadData

17/12/2017 21:44:52 | RenderReport | 01312214451914

17/12/2017 21:44:52 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

17/12/2017 21:44:52 | SyncInvokeGetCsPrintFromWebPart | 01312214451914

17/12/2017 21:44:52 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

17/12/2017 21:44:52 | LoadData | 01312214451914

17/12/2017 21:44:52 | LoadData | données trouve

17/12/2017 21:44:52 | LoadData | Parametre non trouvé

17/12/2017 21:44:52 | data | data trouve

17/12/2017 21:44:52 | CreatePDFChemin | ~/Reports/Report/CompteurDispo.rdlc | Chemin du fichier rdlc

17/12/2017 21:44:52 | CreatePDFChemin | Add DataSources ok

17/12/2017 21:46:01 | RunCreationPDF | \\PC\Impression

17/12/2017 21:47:51 | RunCreationPDF | Une erreur s'est produite lors du traitement du rapport local.

17/12/2017 21:47:51 | Callback | Une erreur s'est produite lors du traitement du rapport.

17/12/2017 22:01:32 | SyncInvokesetFromWebPart | 0131222132474

17/12/2017 22:01:34 | Callback | localhost1818

17/12/2017 22:01:34 | RenderReport | loadData

17/12/2017 22:01:34 | RenderReport | 0131222132474

17/12/2017 22:01:34 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

17/12/2017 22:01:34 | SyncInvokeGetCsPrintFromWebPart | 0131222132474

17/12/2017 22:01:34 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

17/12/2017 22:01:35 | LoadData | 0131222132474

17/12/2017 22:01:35 | LoadData | données trouve

17/12/2017 22:01:35 | LoadData | Parametre trouvé

17/12/2017 22:01:35 | data | data trouve

17/12/2017 22:01:35 | CreatePDFChemin | ~/Reports/Report/EtatCompteur.rdlc | Chemin du fichier rdlc

17/12/2017 22:01:36 | CreatePDFChemin | pParametre : System.Collections.Specialized.StringCollection  pParametre : System.Collections.Specialized.StringCollection | Set Parameters

17/12/2017 22:01:36 | CreatePDFChemin | Add DataSources ok

17/12/2017 22:01:48 | RunCreationPDF | \\PC\Impression

17/12/2017 22:09:28 | SyncInvokesetFromWebPart | 0131222928108

17/12/2017 22:09:28 | Callback | localhost1818

17/12/2017 22:09:29 | RenderReport | loadData

17/12/2017 22:09:29 | RenderReport | 0131222928108

17/12/2017 22:09:29 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

17/12/2017 22:09:29 | SyncInvokeGetCsPrintFromWebPart | 0131222928108

17/12/2017 22:09:29 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

17/12/2017 22:09:29 | LoadData | 0131222928108

17/12/2017 22:09:29 | LoadData | données trouve

17/12/2017 22:09:29 | LoadData | Parametre trouvé

17/12/2017 22:09:29 | data | data trouve

17/12/2017 22:09:29 | CreatePDFChemin | ~/Reports/Report/EtatCompteur.rdlc | Chemin du fichier rdlc

17/12/2017 22:09:30 | CreatePDFChemin | pParametre : System.Collections.Specialized.StringCollection  pParametre : System.Collections.Specialized.StringCollection | Set Parameters

17/12/2017 22:09:30 | CreatePDFChemin | Add DataSources ok

17/12/2017 22:09:38 | RunCreationPDF | \\PC\Impression

17/12/2017 22:09:53 | SyncInvokesetFromWebPart | 0131222953359

17/12/2017 22:09:53 | Callback | localhost1818

17/12/2017 22:09:53 | RenderReport | loadData

17/12/2017 22:09:53 | RenderReport | 0131222953359

17/12/2017 22:09:53 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

17/12/2017 22:09:53 | SyncInvokeGetCsPrintFromWebPart | 0131222953359

17/12/2017 22:09:53 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

17/12/2017 22:09:53 | LoadData | 0131222953359

17/12/2017 22:09:53 | LoadData | données trouve

17/12/2017 22:09:53 | LoadData | Parametre non trouvé

17/12/2017 22:09:53 | data | data trouve

