05/03/2018 10:07:58 | SyncInvokesetFromWebPart | 0290410757736

05/03/2018 10:07:59 | Callback | localhost1818

05/03/2018 10:07:59 | RenderReport | loadData

05/03/2018 10:07:59 | RenderReport | 0290410757736

05/03/2018 10:07:59 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

05/03/2018 10:07:59 | SyncInvokeGetCsPrintFromWebPart | 0290410757736

05/03/2018 10:07:59 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

05/03/2018 10:08:00 | LoadData | 0290410757736

05/03/2018 10:08:00 | LoadData | données trouve

05/03/2018 10:08:00 | LoadData | Parametre non trouvé

05/03/2018 10:08:00 | data | data trouve data count: 4

05/03/2018 10:08:00 | Page_Load | RenderReport retour ok

05/03/2018 10:08:00 | RunExportFile | \\PC\Impression|VenteCummulCategorie5320181080|pdf

05/03/2018 10:08:04 | Page_Load | ICI3

05/03/2018 10:09:50 | SyncInvokesetFromWebPart | 0290410950506

05/03/2018 10:09:50 | Callback | localhost1818

05/03/2018 10:09:50 | RenderReport | loadData

05/03/2018 10:09:50 | RenderReport | 0290410950506

05/03/2018 10:09:50 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

05/03/2018 10:09:50 | SyncInvokeGetCsPrintFromWebPart | 0290410950506

05/03/2018 10:09:50 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

05/03/2018 10:09:50 | LoadData | 0290410950506

05/03/2018 10:09:50 | LoadData | données trouve

05/03/2018 10:09:50 | LoadData | Parametre non trouvé

05/03/2018 10:09:50 | data | data trouve data count: 4

05/03/2018 10:09:50 | Page_Load | RenderReport retour ok

05/03/2018 10:09:50 | RunExportFile | \\PC\Impression|VenteCummulCategorie53201810950|pdf

05/03/2018 10:09:51 | Page_Load | ICI3

05/03/2018 10:22:33 | SyncInvokesetFromWebPart | 01485102232988

05/03/2018 10:22:33 | Callback | localhost1818

05/03/2018 10:22:33 | RenderReport | loadData

05/03/2018 10:22:33 | RenderReport | 01485102232988

05/03/2018 10:22:33 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

05/03/2018 10:22:33 | SyncInvokeGetCsPrintFromWebPart | 01485102232988

05/03/2018 10:22:33 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

05/03/2018 10:22:33 | LoadData | 01485102232988

05/03/2018 10:22:33 | LoadData | données trouve

05/03/2018 10:22:33 | LoadData | Parametre non trouvé

05/03/2018 10:22:33 | data | data trouve data count: 8

05/03/2018 10:22:33 | Page_Load | RenderReport retour ok

05/03/2018 10:22:33 | RunExportFile | \\PC\Impression|VenteCummulCategorie532018102233|pdf

05/03/2018 10:22:34 | Page_Load | ICI3

05/03/2018 10:24:43 | SyncInvokesetFromWebPart | 01485102442965

05/03/2018 10:24:43 | Callback | localhost1818

05/03/2018 10:24:43 | RenderReport | loadData

05/03/2018 10:24:43 | RenderReport | 01485102442965

05/03/2018 10:24:43 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

05/03/2018 10:24:43 | SyncInvokeGetCsPrintFromWebPart | 01485102442965

05/03/2018 10:24:43 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

05/03/2018 10:24:43 | LoadData | 01485102442965

05/03/2018 10:24:43 | LoadData | données trouve

05/03/2018 10:24:43 | LoadData | Parametre non trouvé

05/03/2018 10:24:43 | data | data trouve data count: 8

05/03/2018 10:24:43 | Page_Load | RenderReport retour ok

05/03/2018 10:24:43 | RunExportFile | \\PC\Impression|VenteCummulCategorieXls532018102443|xlsx

05/03/2018 10:24:44 | RunExportFile | Générer byte

05/03/2018 10:24:44 | RunExportFile | Initialiser le filsStream

05/03/2018 10:24:44 | RunExportFile | Création du fichier

05/03/2018 10:24:44 | Page_Load | ICI3

05/03/2018 10:46:43 | SyncInvokesetFromWebPart | 01485104643886

05/03/2018 10:46:44 | Callback | localhost1818

05/03/2018 10:46:44 | RenderReport | loadData

05/03/2018 10:46:44 | RenderReport | 01485104643886

05/03/2018 10:46:44 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

05/03/2018 10:46:44 | SyncInvokeGetCsPrintFromWebPart | 01485104643886

05/03/2018 10:46:44 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

05/03/2018 10:46:44 | LoadData | 01485104643886

05/03/2018 10:46:44 | LoadData | données trouve

05/03/2018 10:46:44 | LoadData | Parametre non trouvé

05/03/2018 10:46:44 | data | data trouve data count: 8

05/03/2018 10:46:44 | Page_Load | RenderReport retour ok

05/03/2018 10:46:44 | RunExportFile | \\PC\Impression|VenteCummulCategorieXls532018104644|xlsx

05/03/2018 10:46:45 | RunExportFile | Générer byte

05/03/2018 10:46:45 | RunExportFile | Initialiser le filsStream

05/03/2018 10:46:45 | RunExportFile | Création du fichier

05/03/2018 10:46:45 | Page_Load | ICI3

05/03/2018 11:05:44 | SyncInvokesetFromWebPart | 0148511543966

05/03/2018 11:05:44 | Callback | localhost1818

05/03/2018 11:05:44 | RenderReport | loadData

05/03/2018 11:05:44 | RenderReport | 0148511543966

05/03/2018 11:05:44 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

05/03/2018 11:05:44 | SyncInvokeGetCsPrintFromWebPart | 0148511543966

05/03/2018 11:05:44 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

05/03/2018 11:05:44 | LoadData | 0148511543966

05/03/2018 11:05:44 | LoadData | données trouve

05/03/2018 11:05:44 | LoadData | Parametre non trouvé

05/03/2018 11:05:44 | data | data trouve data count: 8

05/03/2018 11:05:44 | Page_Load | RenderReport retour ok

05/03/2018 11:05:44 | RunExportFile | \\PC\Impression|VenteCummulCategorieXls53201811544|xlsx

05/03/2018 11:05:45 | RunExportFile | Générer byte

05/03/2018 11:05:45 | RunExportFile | Initialiser le filsStream

05/03/2018 11:05:45 | RunExportFile | Création du fichier

05/03/2018 11:05:45 | Page_Load | ICI3

05/03/2018 11:09:52 | SyncInvokesetFromWebPart | 0148511952313

05/03/2018 11:09:52 | Callback | localhost1818

05/03/2018 11:09:52 | RenderReport | loadData

05/03/2018 11:09:52 | RenderReport | 0148511952313

05/03/2018 11:09:52 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

05/03/2018 11:09:52 | SyncInvokeGetCsPrintFromWebPart | 0148511952313

05/03/2018 11:09:52 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

05/03/2018 11:09:52 | LoadData | 0148511952313

05/03/2018 11:09:52 | LoadData | données trouve

05/03/2018 11:09:52 | LoadData | Parametre trouvé

05/03/2018 11:09:52 | data | data trouve data count: 1

05/03/2018 11:09:53 | Page_Load | RenderReport retour ok

05/03/2018 11:09:53 | RunExportFile | \\PC\Impression|RecapStatFacturationBtFac53201811953|xlsx

05/03/2018 11:09:53 | RunExportFile | Générer byte

05/03/2018 11:09:53 | RunExportFile | Initialiser le filsStream

05/03/2018 11:09:53 | RunExportFile | Création du fichier

05/03/2018 11:09:53 | Page_Load | ICI3

05/03/2018 11:26:28 | SyncInvokesetFromWebPart | 01485112628408

05/03/2018 11:26:28 | Callback | localhost1818

05/03/2018 11:26:28 | RenderReport | loadData

05/03/2018 11:26:28 | RenderReport | 01485112628408

05/03/2018 11:26:28 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

05/03/2018 11:26:28 | SyncInvokeGetCsPrintFromWebPart | 01485112628408

05/03/2018 11:26:28 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

05/03/2018 11:26:28 | LoadData | 01485112628408

05/03/2018 11:26:28 | LoadData | données trouve

05/03/2018 11:26:28 | LoadData | Parametre trouvé

05/03/2018 11:26:28 | data | data trouve data count: 1

05/03/2018 11:26:28 | Page_Load | RenderReport retour ok

05/03/2018 11:26:28 | RunExportFile | \\PC\Impression|RecapStatFacturationBtFac532018112628|xlsx

05/03/2018 11:26:28 | RunExportFile | Générer byte

05/03/2018 11:26:28 | RunExportFile | Initialiser le filsStream

05/03/2018 11:26:28 | RunExportFile | Création du fichier

05/03/2018 11:26:29 | Page_Load | ICI3

05/03/2018 11:29:49 | SyncInvokesetFromWebPart | 01485112949796

05/03/2018 11:29:49 | Callback | localhost1818

05/03/2018 11:29:50 | RenderReport | loadData

05/03/2018 11:29:50 | RenderReport | 01485112949796

05/03/2018 11:29:50 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

05/03/2018 11:29:50 | SyncInvokeGetCsPrintFromWebPart | 01485112949796

05/03/2018 11:29:50 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

05/03/2018 11:29:50 | LoadData | 01485112949796

05/03/2018 11:29:50 | LoadData | données trouve

05/03/2018 11:29:50 | LoadData | Parametre trouvé

05/03/2018 11:29:50 | data | data trouve data count: 1

05/03/2018 11:29:50 | Page_Load | RenderReport retour ok

05/03/2018 11:29:50 | RunExportFile | \\PC\Impression|RecapStatFacturationBtFac532018112950|xlsx

05/03/2018 11:29:50 | RunExportFile | Générer byte

05/03/2018 11:29:50 | RunExportFile | Initialiser le filsStream

05/03/2018 11:29:50 | RunExportFile | Création du fichier

05/03/2018 11:29:50 | Page_Load | ICI3

