24/08/2017 16:00:15 | SyncInvokesetFromWebPart | 0229916013631

24/08/2017 16:00:30 | Callback | localhost1818

24/08/2017 16:00:30 | RenderReport | loadData

24/08/2017 16:00:30 | RenderReport | 0229916013631

24/08/2017 16:00:30 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

24/08/2017 16:00:30 | SyncInvokeGetCsPrintFromWebPart | 0229916013631

24/08/2017 16:00:30 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

24/08/2017 16:00:31 | LoadData | 0229916013631

24/08/2017 16:00:31 | LoadData | données trouve

24/08/2017 16:00:32 | LoadData | Parametre non trouvé

24/08/2017 16:00:32 | data | data trouve

24/08/2017 16:00:32 | CreatePDFChemin | ~/Reports/Accueil/AccuseRecption.rdlc | Chemin du fichier rdlc

24/08/2017 16:00:32 | CreatePDFChemin | Add DataSources ok

24/08/2017 16:00:32 | RunCreationPDF | \\LAP-SI-GAL-10\Impression

24/08/2017 19:17:19 | SyncInvokesetFromWebPart | 02299191711901

24/08/2017 19:17:26 | Callback | localhost1818

24/08/2017 19:17:30 | RenderReport | loadData

24/08/2017 19:17:30 | RenderReport | 02299191711901

24/08/2017 19:17:30 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

24/08/2017 19:17:30 | SyncInvokeGetCsPrintFromWebPart | 02299191711901

24/08/2017 19:17:30 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

24/08/2017 19:17:31 | LoadData | 02299191711901

24/08/2017 19:17:31 | LoadData | données trouve

24/08/2017 19:17:31 | LoadData | Parametre trouvé

24/08/2017 19:17:31 | data | data trouve

24/08/2017 19:17:31 | CreatePDFChemin | ~/Reports/Accueil/ContratClient.rdlc | Chemin du fichier rdlc

24/08/2017 19:17:36 | CreatePDFChemin | pTypedemande : System.Collections.Specialized.StringCollection  pTypedemande : System.Collections.Specialized.StringCollection | Set Parameters

24/08/2017 19:17:36 | CreatePDFChemin | Add DataSources ok

24/08/2017 19:17:37 | RunCreationPDF | \\LAP-SI-GAL-10\Impression

24/08/2017 19:22:17 | SyncInvokesetFromWebPart | 01207192216409

24/08/2017 19:22:17 | SyncInvokesetFromWebPart | 01207192217207

24/08/2017 19:22:17 | Callback | localhost1818

24/08/2017 19:22:17 | Callback | localhost1818

24/08/2017 19:22:17 | RenderReport | loadData

24/08/2017 19:22:17 | RenderReport | loadData

24/08/2017 19:22:17 | RenderReport | 01207192217207

24/08/2017 19:22:17 | RenderReport | 01207192216409

24/08/2017 19:22:17 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

24/08/2017 19:22:17 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

24/08/2017 19:22:17 | SyncInvokeGetCsPrintFromWebPart | 01207192217207

24/08/2017 19:22:17 | SyncInvokeGetCsPrintFromWebPart | 01207192216409

24/08/2017 19:22:17 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

24/08/2017 19:22:17 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

24/08/2017 19:22:18 | LoadData | 01207192217207

24/08/2017 19:22:18 | LoadData | 01207192216409

24/08/2017 19:22:18 | LoadData | données trouve

24/08/2017 19:22:18 | LoadData | données trouve

24/08/2017 19:22:18 | LoadData | Parametre trouvé

24/08/2017 19:22:18 | LoadData | Parametre trouvé

24/08/2017 19:22:18 | data | data trouve

24/08/2017 19:22:18 | data | data trouve

24/08/2017 19:22:18 | CreatePDFChemin | ~/Reports/Caisse/recu.rdlc | Chemin du fichier rdlc

24/08/2017 19:22:18 | CreatePDFChemin | ~/Reports/Caisse/recu.rdlc | Chemin du fichier rdlc

24/08/2017 19:22:19 | CreatePDFChemin | pTypeRecu : System.Collections.Specialized.StringCollection  pTypeRecu : System.Collections.Specialized.StringCollection | Set Parameters

24/08/2017 19:22:19 | CreatePDFChemin | Add DataSources ok

24/08/2017 19:22:19 | RunCreationPDF | \\LAP-SI-GAL-10\Impression

24/08/2017 19:22:19 | CreatePDFChemin | pTypeRecu : System.Collections.Specialized.StringCollection  pTypeRecu : System.Collections.Specialized.StringCollection | Set Parameters

24/08/2017 19:22:19 | CreatePDFChemin | Add DataSources ok

24/08/2017 19:22:19 | RunCreationPDF | \\LAP-SI-GAL-10\Impression

24/08/2017 20:13:56 | SyncInvokesetFromWebPart | 01207201355985

24/08/2017 20:13:56 | SyncInvokesetFromWebPart | 01207201355396

24/08/2017 20:14:06 | Callback | localhost1818

24/08/2017 20:14:06 | RenderReport | loadData

24/08/2017 20:14:06 | RenderReport | loadData

24/08/2017 20:14:06 | RenderReport | 01207201355985

24/08/2017 20:14:06 | RenderReport | 01207201355396

24/08/2017 20:14:06 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

24/08/2017 20:14:06 | SyncInvokeGetCsPrintFromWebPart | 01207201355985

24/08/2017 20:14:06 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

24/08/2017 20:14:07 | LoadData | 01207201355396

24/08/2017 20:14:07 | LoadData | 01207201355985

24/08/2017 20:14:07 | LoadData | données trouve

24/08/2017 20:14:07 | LoadData | données trouve

24/08/2017 20:14:07 | LoadData | Parametre trouvé

24/08/2017 20:14:07 | LoadData | Parametre trouvé

24/08/2017 20:14:07 | data | data trouve

24/08/2017 20:14:07 | data | data trouve

24/08/2017 20:14:07 | CreatePDFChemin | ~/Reports/Caisse/recu.rdlc | Chemin du fichier rdlc

24/08/2017 20:14:07 | CreatePDFChemin | ~/Reports/Caisse/recu.rdlc | Chemin du fichier rdlc

24/08/2017 20:14:13 | CreatePDFChemin | pTypeRecu : System.Collections.Specialized.StringCollection  pTypeRecu : System.Collections.Specialized.StringCollection | Set Parameters

24/08/2017 20:14:13 | CreatePDFChemin | pTypeRecu : System.Collections.Specialized.StringCollection  pTypeRecu : System.Collections.Specialized.StringCollection | Set Parameters

24/08/2017 20:14:13 | CreatePDFChemin | Add DataSources ok

24/08/2017 20:14:13 | CreatePDFChemin | Add DataSources ok

24/08/2017 20:14:13 | RunCreationPDF | \\LAP-SI-GAL-10\Impression

24/08/2017 20:14:13 | RunCreationPDF | \\LAP-SI-GAL-10\Impression

24/08/2017 22:56:59 | SyncInvokesetFromWebPart | 09642225655249

24/08/2017 22:57:02 | Callback | localhost1818

24/08/2017 22:57:03 | RenderReport | loadData

24/08/2017 22:57:03 | RenderReport | 09642225655249

24/08/2017 22:57:03 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

24/08/2017 22:57:03 | SyncInvokeGetCsPrintFromWebPart | 09642225655249

24/08/2017 22:57:03 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

24/08/2017 22:57:04 | LoadData | 09642225655249

24/08/2017 22:57:04 | LoadData | données trouve

24/08/2017 22:57:04 | LoadData | Parametre non trouvé

24/08/2017 22:57:05 | data | data trouve

24/08/2017 22:57:05 | CreatePDFChemin | ~/Reports/Devis/FicheProgrammation.rdlc | Chemin du fichier rdlc

24/08/2017 22:57:05 | CreatePDFChemin | Add DataSources ok

24/08/2017 22:57:05 | RunCreationPDF | \\LAP-SI-GAL-10\Impression

24/08/2017 23:57:19 | SyncInvokesetFromWebPart | 09642235717413

24/08/2017 23:57:20 | Callback | localhost1818

24/08/2017 23:57:23 | RenderReport | loadData

24/08/2017 23:57:23 | RenderReport | 09642235717413

24/08/2017 23:57:23 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

24/08/2017 23:57:23 | SyncInvokeGetCsPrintFromWebPart | 09642235717413

24/08/2017 23:57:23 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

24/08/2017 23:57:24 | LoadData | 09642235717413

24/08/2017 23:57:24 | LoadData | données trouve

24/08/2017 23:57:24 | LoadData | Parametre non trouvé

24/08/2017 23:57:24 | data | data trouve

24/08/2017 23:57:24 | CreatePDFChemin | ~/Reports/Devis/SortieCompteur1.rdlc | Chemin du fichier rdlc

24/08/2017 23:57:24 | CreatePDFChemin | Add DataSources ok

24/08/2017 23:57:24 | RunCreationPDF | \\LAP-SI-GAL-10\Impression

24/08/2017 23:58:23 | SyncInvokesetFromWebPart | 09642235823345

24/08/2017 23:58:23 | Callback | localhost1818

24/08/2017 23:58:23 | RenderReport | loadData

24/08/2017 23:58:23 | RenderReport | 09642235823345

24/08/2017 23:58:24 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

24/08/2017 23:58:24 | SyncInvokeGetCsPrintFromWebPart | 09642235823345

24/08/2017 23:58:24 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

24/08/2017 23:58:24 | LoadData | 09642235823345

24/08/2017 23:58:24 | LoadData | données trouve

24/08/2017 23:58:24 | LoadData | Parametre non trouvé

24/08/2017 23:58:24 | data | data trouve

24/08/2017 23:58:24 | CreatePDFChemin | ~/Reports/Devis/SortieCompteur1.rdlc | Chemin du fichier rdlc

24/08/2017 23:58:24 | CreatePDFChemin | Add DataSources ok

24/08/2017 23:58:24 | RunCreationPDF | \\LAP-SI-GAL-10\Impression

24/08/2017 23:59:29 | SyncInvokesetFromWebPart | 09642235928646

24/08/2017 23:59:29 | Callback | localhost1818

24/08/2017 23:59:29 | RenderReport | loadData

24/08/2017 23:59:29 | RenderReport | 09642235928646

24/08/2017 23:59:29 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

24/08/2017 23:59:29 | SyncInvokeGetCsPrintFromWebPart | 09642235928646

24/08/2017 23:59:29 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

24/08/2017 23:59:29 | LoadData | 09642235928646

24/08/2017 23:59:30 | LoadData | données trouve

24/08/2017 23:59:30 | LoadData | Parametre non trouvé

24/08/2017 23:59:30 | data | data trouve

24/08/2017 23:59:30 | CreatePDFChemin | ~/Reports/Devis/SortieMateriel.rdlc | Chemin du fichier rdlc

24/08/2017 23:59:30 | CreatePDFChemin | Add DataSources ok

24/08/2017 23:59:30 | RunCreationPDF | \\LAP-SI-GAL-10\Impression

