17/10/2017 03:49:12 | SyncInvokesetFromWebPart | 0328834911693

17/10/2017 03:49:14 | Callback | localhost1818

17/10/2017 03:49:14 | RenderReport | loadData

17/10/2017 03:49:14 | RenderReport | 0328834911693

17/10/2017 03:49:14 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

17/10/2017 03:49:14 | SyncInvokeGetCsPrintFromWebPart | 0328834911693

17/10/2017 03:49:14 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

17/10/2017 03:49:14 | LoadData | 0328834911693

17/10/2017 03:49:14 | LoadData | données trouve

17/10/2017 03:49:14 | LoadData | Parametre non trouvé

17/10/2017 03:49:14 | data | data trouve

17/10/2017 03:49:14 | CreatePDFChemin | ~/Reports/Accueil/AccuseRecption.rdlc | Chemin du fichier rdlc

17/10/2017 03:49:14 | CreatePDFChemin | Add DataSources ok

17/10/2017 03:49:14 | RunCreationPDF | \\PC\Impression

17/10/2017 05:06:18 | SyncInvokesetFromWebPart | 032885617677

17/10/2017 05:06:18 | Callback | localhost1818

17/10/2017 05:06:18 | RenderReport | loadData

17/10/2017 05:06:18 | RenderReport | 032885617677

17/10/2017 05:06:18 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

17/10/2017 05:06:18 | SyncInvokeGetCsPrintFromWebPart | 032885617677

17/10/2017 05:06:18 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

17/10/2017 05:06:18 | LoadData | 032885617677

17/10/2017 05:06:19 | LoadData | données trouve

17/10/2017 05:06:19 | LoadData | Parametre non trouvé

17/10/2017 05:06:19 | data | data trouve

17/10/2017 05:06:19 | CreatePDFChemin | ~/Reports/Accueil/AccuseRecption.rdlc | Chemin du fichier rdlc

17/10/2017 05:06:19 | CreatePDFChemin | Add DataSources ok

17/10/2017 05:06:19 | RunCreationPDF | \\PC\Impression

17/10/2017 05:31:04 | SyncInvokesetFromWebPart | 032885314414

17/10/2017 05:31:05 | Callback | localhost1818

17/10/2017 05:31:05 | RenderReport | loadData

17/10/2017 05:31:05 | RenderReport | 032885314414

17/10/2017 05:31:05 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

17/10/2017 05:31:05 | SyncInvokeGetCsPrintFromWebPart | 032885314414

17/10/2017 05:31:05 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

17/10/2017 05:31:05 | LoadData | 032885314414

17/10/2017 05:31:05 | LoadData | données trouve

17/10/2017 05:31:05 | LoadData | Parametre non trouvé

17/10/2017 05:31:05 | data | data trouve

17/10/2017 05:31:05 | CreatePDFChemin | ~/Reports/Accueil/AccuseRecption.rdlc | Chemin du fichier rdlc

17/10/2017 05:31:05 | CreatePDFChemin | Add DataSources ok

17/10/2017 05:31:05 | RunCreationPDF | \\PC\Impression

17/10/2017 05:45:19 | SyncInvokesetFromWebPart | 0328854519398

17/10/2017 05:45:19 | Callback | localhost1818

17/10/2017 05:45:19 | RenderReport | loadData

17/10/2017 05:45:19 | RenderReport | 0328854519398

17/10/2017 05:45:19 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

17/10/2017 05:45:19 | SyncInvokeGetCsPrintFromWebPart | 0328854519398

17/10/2017 05:45:19 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

17/10/2017 05:45:19 | LoadData | 0328854519398

17/10/2017 05:45:19 | LoadData | données trouve

17/10/2017 05:45:19 | LoadData | Parametre non trouvé

17/10/2017 05:45:19 | data | data trouve

17/10/2017 05:45:19 | CreatePDFChemin | ~/Reports/Accueil/AccuseRecption.rdlc | Chemin du fichier rdlc

17/10/2017 05:45:19 | CreatePDFChemin | Add DataSources ok

17/10/2017 05:45:19 | RunCreationPDF | \\PC\Impression

17/10/2017 14:09:51 | SyncInvokesetFromWebPart | 0328814951200

17/10/2017 14:09:57 | Callback | localhost1818

17/10/2017 14:09:58 | RenderReport | loadData

17/10/2017 14:09:58 | RenderReport | 0328814951200

17/10/2017 14:09:58 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

17/10/2017 14:09:58 | SyncInvokeGetCsPrintFromWebPart | 0328814951200

