27/06/2017 12:49:06 | SyncInvokesetFromWebPart | 0148512495528

27/06/2017 12:49:14 | Callback | localhost1818

27/06/2017 12:49:15 | RenderReport | loadData

27/06/2017 12:49:15 | RenderReport | 0148512495528

27/06/2017 12:49:18 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

27/06/2017 12:49:18 | SyncInvokeGetCsPrintFromWebPart | 0148512495528

27/06/2017 12:49:18 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

27/06/2017 12:49:19 | LoadData | 0148512495528

27/06/2017 12:49:19 | LoadData | données trouve

27/06/2017 12:49:19 | LoadData | Parametre non trouvé

27/06/2017 12:49:19 | data | data trouve data count: 161

27/06/2017 12:49:19 | Page_Load | RenderReport retour ok

27/06/2017 12:49:20 | RunExportFile | \\PC\Impression|CasFactureDetail2762017124920|xlsx

27/06/2017 12:49:24 | RunExportFile | Générer byte

27/06/2017 12:49:24 | RunExportFile | Initialiser le filsStream

27/06/2017 12:49:24 | RunExportFile | Création du fichier

27/06/2017 12:49:24 | Page_Load | ICI3

27/06/2017 12:53:17 | SyncInvokesetFromWebPart | 01485125317125

27/06/2017 12:53:28 | Callback | localhost1818

27/06/2017 12:53:30 | RenderReport | loadData

27/06/2017 12:53:30 | RenderReport | 01485125317125

27/06/2017 12:53:33 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

27/06/2017 12:53:33 | SyncInvokeGetCsPrintFromWebPart | 01485125317125

27/06/2017 12:53:33 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

27/06/2017 12:53:34 | LoadData | 01485125317125

27/06/2017 12:53:34 | LoadData | données trouve

27/06/2017 12:53:34 | LoadData | Parametre non trouvé

27/06/2017 12:53:34 | data | data trouve data count: 58

27/06/2017 12:53:34 | Page_Load | RenderReport retour ok

27/06/2017 12:53:35 | RunExportFile | \\PC\Impression|FactureAnnulation2762017125335|pdf

27/06/2017 12:53:40 | Page_Load | ICI3

27/06/2017 14:08:41 | SyncInvokesetFromWebPart | 0131214840388

27/06/2017 14:08:48 | Callback | localhost1818

27/06/2017 14:08:50 | RenderReport | loadData

27/06/2017 14:08:50 | RenderReport | 0131214840388

27/06/2017 14:08:52 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

27/06/2017 14:08:52 | SyncInvokeGetCsPrintFromWebPart | 0131214840388

27/06/2017 14:08:52 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

27/06/2017 14:08:52 | LoadData | 0131214840388

27/06/2017 14:08:52 | LoadData | données trouve

27/06/2017 14:08:52 | LoadData | Parametre trouvé

27/06/2017 14:08:52 | data | data trouve data count: 124

27/06/2017 14:08:55 | Page_Load | RenderReport retour ok

27/06/2017 14:08:56 | RunExportFile | \\PC\Impression|Travaux_Branchement_Extension276201714856|xlsx

27/06/2017 14:09:00 | RunExportFile | Générer byte

27/06/2017 14:09:00 | RunExportFile | Initialiser le filsStream

27/06/2017 14:09:00 | RunExportFile | Création du fichier

27/06/2017 14:09:00 | Page_Load | ICI3

27/06/2017 14:26:07 | SyncInvokesetFromWebPart | 0131214267225

27/06/2017 14:26:14 | Callback | localhost1818

27/06/2017 14:26:15 | RenderReport | loadData

27/06/2017 14:26:15 | RenderReport | 0131214267225

27/06/2017 14:26:19 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

27/06/2017 14:26:19 | SyncInvokeGetCsPrintFromWebPart | 0131214267225

27/06/2017 14:26:19 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

27/06/2017 14:26:19 | LoadData | 0131214267225

27/06/2017 14:26:19 | LoadData | données trouve

27/06/2017 14:26:19 | LoadData | Parametre trouvé

27/06/2017 14:26:19 | data | data trouve data count: 12

27/06/2017 14:26:20 | Page_Load | RenderReport retour ok

27/06/2017 14:26:50 | RunExportFile | \\PC\Impression|DonnesStatistiqueDemande2762017142650|xlsx

27/06/2017 14:26:57 | RunExportFile | Générer byte

27/06/2017 14:26:58 | RunExportFile | Initialiser le filsStream

27/06/2017 14:26:58 | RunExportFile | Création du fichier

27/06/2017 14:26:58 | Page_Load | ICI3

27/06/2017 14:57:36 | SyncInvokesetFromWebPart | 01485145735757

27/06/2017 14:57:36 | Callback | localhost1818

27/06/2017 14:57:36 | RenderReport | loadData

27/06/2017 14:57:36 | RenderReport | 01485145735757

27/06/2017 14:57:36 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

27/06/2017 14:57:36 | SyncInvokeGetCsPrintFromWebPart | 01485145735757

27/06/2017 14:57:36 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

27/06/2017 14:57:36 | LoadData | 01485145735757

27/06/2017 14:57:36 | LoadData | données trouve

27/06/2017 14:57:36 | LoadData | Parametre non trouvé

27/06/2017 14:57:36 | data | data trouve data count: 58

27/06/2017 14:57:36 | Page_Load | RenderReport retour ok

27/06/2017 14:57:36 | RunExportFile | \\PC\Impression|FactureAnnulation2762017145736|xlsx

27/06/2017 14:57:38 | RunExportFile | Générer byte

27/06/2017 14:57:38 | RunExportFile | Initialiser le filsStream

27/06/2017 14:57:38 | RunExportFile | Création du fichier

27/06/2017 14:57:38 | Page_Load | ICI3

