19/05/2017 05:30:44 | SyncInvokesetFromWebPart | 0136053042214

19/05/2017 05:30:48 | Callback | localhost1818

19/05/2017 05:30:49 | RenderReport | loadData

19/05/2017 05:30:49 | RenderReport | 0136053042214

19/05/2017 05:30:49 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

19/05/2017 05:30:49 | SyncInvokeGetCsPrintFromWebPart | 0136053042214

19/05/2017 05:30:49 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

19/05/2017 05:30:50 | LoadData | 0136053042214

19/05/2017 05:30:50 | LoadData | données trouve

19/05/2017 05:30:50 | LoadData | Parametre non trouvé

19/05/2017 05:30:50 | data | data trouve

19/05/2017 05:30:50 | CreatePDFChemin | ~/Reports/Devis/SortieCompteur1.rdlc | Chemin du fichier rdlc

19/05/2017 05:30:51 | CreatePDFChemin | Add DataSources ok

19/05/2017 05:30:51 | RunCreationPDF | \\LAP-SI-GAL-10\Impression

19/05/2017 07:09:30 | SyncInvokesetFromWebPart | 026397929449

19/05/2017 07:09:36 | Callback | localhost1818

19/05/2017 07:09:36 | RenderReport | loadData

19/05/2017 07:09:36 | RenderReport | 026397929449

19/05/2017 07:09:36 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

19/05/2017 07:09:37 | SyncInvokeGetCsPrintFromWebPart | 026397929449

19/05/2017 07:09:37 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

19/05/2017 07:09:38 | LoadData | 026397929449

19/05/2017 07:09:38 | LoadData | données trouve

19/05/2017 07:09:38 | LoadData | Parametre trouvé

19/05/2017 07:09:38 | data | data trouve

19/05/2017 07:09:38 | CreatePDFChemin | ~/Reports/Report/Demande.rdlc | Chemin du fichier rdlc

19/05/2017 07:09:41 | CreatePDFChemin | pParametre : System.Collections.Specialized.StringCollection  pParametre : System.Collections.Specialized.StringCollection | Set Parameters

19/05/2017 07:09:41 | CreatePDFChemin | Add DataSources ok

19/05/2017 07:09:41 | RunCreationPDF | \\LAP-SI-GAL-10\Impression

19/05/2017 07:31:37 | SyncInvokesetFromWebPart | 0263973134567

19/05/2017 07:31:38 | Callback | localhost1818

19/05/2017 07:31:46 | RenderReport | loadData

