23/06/2017 00:02:42 | SyncInvokesetFromWebPart | 026390242552

23/06/2017 00:02:42 | Callback | localhost1818

23/06/2017 00:02:43 | RenderReport | loadData

23/06/2017 00:02:43 | RenderReport | 026390242552

23/06/2017 00:02:43 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

23/06/2017 00:02:43 | SyncInvokeGetCsPrintFromWebPart | 026390242552

23/06/2017 00:02:43 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

23/06/2017 00:02:44 | LoadData | 026390242552

23/06/2017 00:02:44 | LoadData | données trouve

23/06/2017 00:02:44 | LoadData | Parametre non trouvé

23/06/2017 00:02:44 | data | data trouve

23/06/2017 00:02:44 | CreatePDFChemin | ~/Reports/Accueil/AccuseRecption.rdlc | Chemin du fichier rdlc

23/06/2017 00:02:44 | CreatePDFChemin | Add DataSources ok

23/06/2017 00:02:44 | RunCreationPDF | \\PC\Impression

23/06/2017 00:07:50 | SyncInvokesetFromWebPart | 026390750460

23/06/2017 00:07:50 | Callback | localhost1818

23/06/2017 00:07:50 | RenderReport | loadData

23/06/2017 00:07:50 | RenderReport | 026390750460

23/06/2017 00:07:50 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

23/06/2017 00:07:50 | SyncInvokeGetCsPrintFromWebPart | 026390750460

23/06/2017 00:07:50 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

23/06/2017 00:07:50 | LoadData | 026390750460

23/06/2017 00:07:50 | LoadData | données trouve

23/06/2017 00:07:50 | LoadData | Parametre non trouvé

23/06/2017 00:07:51 | data | data trouve

23/06/2017 00:07:51 | CreatePDFChemin | ~/Reports/Accueil/AccuseRecption.rdlc | Chemin du fichier rdlc

23/06/2017 00:07:51 | CreatePDFChemin | Add DataSources ok

23/06/2017 00:07:51 | RunCreationPDF | \\PC\Impression

23/06/2017 00:12:06 | SyncInvokesetFromWebPart | 026390126244

23/06/2017 00:12:06 | Callback | localhost1818

23/06/2017 00:12:06 | RenderReport | loadData

23/06/2017 00:12:06 | RenderReport | 026390126244

23/06/2017 00:12:06 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

23/06/2017 00:12:06 | SyncInvokeGetCsPrintFromWebPart | 026390126244

23/06/2017 00:12:06 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

23/06/2017 00:12:06 | LoadData | 026390126244

23/06/2017 00:12:06 | LoadData | données trouve

23/06/2017 00:12:06 | LoadData | Parametre non trouvé

23/06/2017 00:12:06 | data | data trouve

23/06/2017 00:12:06 | CreatePDFChemin | ~/Reports/Accueil/AccuseRecption.rdlc | Chemin du fichier rdlc

23/06/2017 00:12:06 | CreatePDFChemin | Add DataSources ok

23/06/2017 00:12:06 | RunCreationPDF | \\PC\Impression

23/06/2017 00:26:17 | SyncInvokesetFromWebPart | 026390261253

23/06/2017 00:26:17 | Callback | localhost1818

23/06/2017 00:26:18 | RenderReport | loadData

23/06/2017 00:26:18 | RenderReport | 026390261253

23/06/2017 00:26:18 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

23/06/2017 00:26:18 | SyncInvokeGetCsPrintFromWebPart | 026390261253

23/06/2017 00:26:18 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

23/06/2017 00:26:18 | LoadData | 026390261253

23/06/2017 00:26:18 | LoadData | données trouve

23/06/2017 00:26:18 | LoadData | Parametre non trouvé

23/06/2017 00:26:18 | data | data trouve

23/06/2017 00:26:18 | CreatePDFChemin | ~/Reports/Accueil/AccuseRecption.rdlc | Chemin du fichier rdlc

23/06/2017 00:26:18 | CreatePDFChemin | Add DataSources ok

23/06/2017 00:26:18 | RunCreationPDF | \\PC\Impression

23/06/2017 00:28:44 | SyncInvokesetFromWebPart | 0263902843913

23/06/2017 00:28:44 | Callback | localhost1818

23/06/2017 00:28:48 | RenderReport | loadData

23/06/2017 00:28:48 | RenderReport | 0263902843913

23/06/2017 00:28:50 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

23/06/2017 00:28:50 | SyncInvokeGetCsPrintFromWebPart | 0263902843913

23/06/2017 00:28:51 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

23/06/2017 00:29:01 | LoadData | 0263902843913

23/06/2017 00:29:02 | LoadData | données trouve

23/06/2017 00:29:02 | LoadData | Parametre non trouvé

23/06/2017 00:29:02 | data | data trouve

23/06/2017 00:29:02 | CreatePDFChemin | ~/Reports/Accueil/AccuseRecption.rdlc | Chemin du fichier rdlc

23/06/2017 00:29:02 | CreatePDFChemin | Add DataSources ok

23/06/2017 00:29:02 | RunCreationPDF | \\PC\Impression

23/06/2017 00:33:17 | SyncInvokesetFromWebPart | 0263903317271

23/06/2017 00:33:19 | Callback | localhost1818

23/06/2017 00:33:19 | RenderReport | loadData

23/06/2017 00:33:19 | RenderReport | 0263903317271

23/06/2017 00:33:19 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

23/06/2017 00:33:19 | SyncInvokeGetCsPrintFromWebPart | 0263903317271

23/06/2017 00:33:19 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

23/06/2017 00:33:19 | LoadData | 0263903317271

23/06/2017 00:33:19 | LoadData | données trouve

23/06/2017 00:33:26 | LoadData | Parametre non trouvé

23/06/2017 00:33:36 | data | data trouve

23/06/2017 00:33:55 | CreatePDFChemin | ~/Reports/Accueil/AccuseRecption.rdlc | Chemin du fichier rdlc

23/06/2017 00:34:13 | CreatePDFChemin | Add DataSources ok

23/06/2017 00:34:14 | RunCreationPDF | \\PC\Impression

23/06/2017 00:36:58 | SyncInvokesetFromWebPart | 026390365885

23/06/2017 00:36:59 | Callback | localhost1818

23/06/2017 00:36:59 | RenderReport | loadData

23/06/2017 00:36:59 | RenderReport | 026390365885

23/06/2017 00:36:59 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

23/06/2017 00:36:59 | SyncInvokeGetCsPrintFromWebPart | 026390365885

23/06/2017 00:36:59 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

23/06/2017 00:36:59 | LoadData | 026390365885

23/06/2017 00:37:00 | LoadData | données trouve

23/06/2017 00:37:06 | LoadData | Parametre non trouvé

23/06/2017 00:37:06 | data | data trouve

23/06/2017 00:37:06 | CreatePDFChemin | ~/Reports/Accueil/AccuseRecption.rdlc | Chemin du fichier rdlc

23/06/2017 00:37:06 | CreatePDFChemin | Add DataSources ok

23/06/2017 00:37:06 | RunCreationPDF | \\PC\Impression

23/06/2017 00:51:22 | SyncInvokesetFromWebPart | 0263905120125

23/06/2017 00:51:29 | Callback | localhost1818

23/06/2017 00:51:29 | RenderReport | loadData

23/06/2017 00:51:29 | RenderReport | 0263905120125

23/06/2017 00:51:29 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

23/06/2017 00:51:29 | SyncInvokeGetCsPrintFromWebPart | 0263905120125

23/06/2017 00:51:29 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

23/06/2017 00:51:29 | LoadData | 0263905120125

23/06/2017 00:51:29 | LoadData | données trouve

23/06/2017 00:51:29 | LoadData | Parametre non trouvé

23/06/2017 00:51:29 | data | data trouve

23/06/2017 00:51:29 | CreatePDFChemin | ~/Reports/Accueil/AccuseRecption.rdlc | Chemin du fichier rdlc

23/06/2017 00:51:29 | CreatePDFChemin | Add DataSources ok

23/06/2017 00:51:29 | RunCreationPDF | \\PC\Impression

23/06/2017 02:24:25 | SyncInvokesetFromWebPart | 0263922421887

23/06/2017 02:24:50 | Callback | localhost1818

23/06/2017 02:24:52 | RenderReport | loadData

23/06/2017 02:24:52 | RenderReport | 0263922421887

23/06/2017 02:24:52 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

23/06/2017 02:24:52 | SyncInvokeGetCsPrintFromWebPart | 0263922421887

23/06/2017 02:24:52 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

23/06/2017 02:24:54 | LoadData | 0263922421887

23/06/2017 02:24:54 | LoadData | données trouve

23/06/2017 02:24:55 | LoadData | Parametre non trouvé

23/06/2017 02:24:55 | data | data trouve

23/06/2017 02:24:55 | CreatePDFChemin | ~/Reports/Accueil/AccuseRecption.rdlc | Chemin du fichier rdlc

23/06/2017 02:24:55 | CreatePDFChemin | Add DataSources ok

23/06/2017 02:24:55 | RunCreationPDF | \\PC\Impression

23/06/2017 12:39:52 | SyncInvokesetFromWebPart | 02639123950522

23/06/2017 12:39:58 | Callback | localhost1818

23/06/2017 12:39:59 | RenderReport | loadData

23/06/2017 12:39:59 | RenderReport | 02639123950522

23/06/2017 12:39:59 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

23/06/2017 12:39:59 | SyncInvokeGetCsPrintFromWebPart | 02639123950522

23/06/2017 12:39:59 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

23/06/2017 12:39:59 | LoadData | 02639123950522

23/06/2017 12:39:59 | LoadData | données trouve

23/06/2017 12:39:59 | LoadData | Parametre non trouvé

23/06/2017 12:39:59 | data | data trouve

23/06/2017 12:39:59 | CreatePDFChemin | ~/Reports/Accueil/AccuseRecption.rdlc | Chemin du fichier rdlc

23/06/2017 12:39:59 | CreatePDFChemin | Add DataSources ok

23/06/2017 12:39:59 | RunCreationPDF | \\PC\Impression

23/06/2017 14:41:29 | SyncInvokesetFromWebPart | 01485144127650

23/06/2017 14:41:30 | Callback | localhost1818

23/06/2017 14:41:31 | RenderReport | loadData

23/06/2017 14:41:31 | RenderReport | 01485144127650

23/06/2017 14:41:31 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

23/06/2017 14:41:31 | SyncInvokeGetCsPrintFromWebPart | 01485144127650

23/06/2017 14:41:31 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

23/06/2017 14:41:31 | LoadData | 01485144127650

23/06/2017 14:41:31 | LoadData | données trouve

23/06/2017 14:41:31 | LoadData | Parametre trouvé

23/06/2017 14:41:31 | data | data trouve data count: 649

23/06/2017 14:41:34 | Page_Load | RenderReport retour ok

23/06/2017 14:41:34 | RunExportFile | \\PC\Impression|FactureSimpleA2362017144134|pdf

23/06/2017 14:41:50 | Page_Load | ICI3

23/06/2017 16:00:46 | SyncInvokesetFromWebPart | 0131216044718

23/06/2017 16:01:01 | Callback | localhost1818

23/06/2017 16:01:21 | RenderReport | loadData

23/06/2017 16:01:21 | RenderReport | 0131216044718

23/06/2017 16:01:21 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

23/06/2017 16:01:21 | SyncInvokeGetCsPrintFromWebPart | 0131216044718

23/06/2017 16:01:21 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

23/06/2017 16:01:22 | LoadData | 0131216044718

23/06/2017 16:01:22 | LoadData | données trouve

23/06/2017 16:01:22 | LoadData | Parametre non trouvé

23/06/2017 16:01:22 | data | data trouve

23/06/2017 16:01:22 | CreatePDFChemin | ~/Reports/Reclamation/FicheDeTravail.rdlc | Chemin du fichier rdlc

23/06/2017 16:01:22 | CreatePDFChemin | Add DataSources ok

23/06/2017 16:01:22 | RunCreationPDF | \\PC\Impression

23/06/2017 16:04:18 | SyncInvokesetFromWebPart | 0131216417965

23/06/2017 16:04:22 | Callback | localhost1818

23/06/2017 16:04:24 | RenderReport | loadData

23/06/2017 16:04:27 | RenderReport | 0131216417965

23/06/2017 16:04:27 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

23/06/2017 16:04:27 | SyncInvokeGetCsPrintFromWebPart | 0131216417965

23/06/2017 16:04:27 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

23/06/2017 16:04:27 | LoadData | 0131216417965

23/06/2017 16:04:27 | LoadData | données trouve

23/06/2017 16:04:27 | LoadData | Parametre non trouvé

23/06/2017 16:04:27 | data | data trouve

