10/10/2017 07:15:30 | SyncInvokesetFromWebPart | 0263971529306

10/10/2017 07:15:37 | Callback | localhost1818

10/10/2017 07:15:37 | RenderReport | loadData

10/10/2017 07:15:37 | RenderReport | 0263971529306

10/10/2017 07:15:37 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

10/10/2017 07:15:37 | SyncInvokeGetCsPrintFromWebPart | 0263971529306

10/10/2017 07:15:37 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

10/10/2017 07:15:37 | LoadData | 0263971529306

10/10/2017 07:15:37 | LoadData | données trouve

10/10/2017 07:15:37 | LoadData | Parametre non trouvé

10/10/2017 07:15:37 | data | data trouve

10/10/2017 07:15:37 | CreatePDFChemin | ~/Reports/Accueil/AccuseRecption.rdlc | Chemin du fichier rdlc

10/10/2017 07:15:37 | CreatePDFChemin | Add DataSources ok

10/10/2017 07:15:37 | RunCreationPDF | \\PC\Impression

10/10/2017 07:36:15 | SyncInvokesetFromWebPart | 0263973614876

10/10/2017 07:36:16 | Callback | localhost1818

10/10/2017 07:36:16 | RenderReport | loadData

10/10/2017 07:36:16 | RenderReport | 0263973614876

10/10/2017 07:36:16 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

10/10/2017 07:36:16 | SyncInvokeGetCsPrintFromWebPart | 0263973614876

10/10/2017 07:36:16 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

10/10/2017 07:36:17 | LoadData | 0263973614876

10/10/2017 07:36:17 | LoadData | données trouve

10/10/2017 07:36:17 | LoadData | Parametre non trouvé

10/10/2017 07:36:17 | data | data trouve

10/10/2017 07:36:17 | CreatePDFChemin | ~/Reports/Accueil/AccuseRecption.rdlc | Chemin du fichier rdlc

10/10/2017 07:36:17 | CreatePDFChemin | Add DataSources ok

10/10/2017 07:36:17 | RunCreationPDF | \\PC\Impression

10/10/2017 08:47:04 | SyncInvokesetFromWebPart | 026398474608

10/10/2017 08:47:11 | Callback | localhost1818

10/10/2017 08:47:12 | RenderReport | loadData

10/10/2017 08:47:12 | RenderReport | 026398474608

10/10/2017 08:47:12 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

10/10/2017 08:47:12 | SyncInvokeGetCsPrintFromWebPart | 026398474608

10/10/2017 08:47:12 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

10/10/2017 08:47:12 | LoadData | 026398474608

10/10/2017 08:47:12 | LoadData | données trouve

10/10/2017 08:47:12 | LoadData | Parametre non trouvé

10/10/2017 08:47:12 | data | data trouve

10/10/2017 08:47:12 | CreatePDFChemin | ~/Reports/Accueil/AccuseRecption.rdlc | Chemin du fichier rdlc

10/10/2017 08:47:12 | CreatePDFChemin | Add DataSources ok

10/10/2017 08:47:12 | RunCreationPDF | \\PC\Impression

10/10/2017 11:24:27 | SyncInvokesetFromWebPart | 02367112427194

10/10/2017 11:24:30 | Callback | localhost1818

10/10/2017 11:24:31 | RenderReport | loadData

10/10/2017 11:24:31 | RenderReport | 02367112427194

10/10/2017 11:24:31 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

10/10/2017 11:24:31 | SyncInvokeGetCsPrintFromWebPart | 02367112427194

10/10/2017 11:24:31 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

10/10/2017 11:24:31 | LoadData | 02367112427194

10/10/2017 11:24:31 | LoadData | données trouve

10/10/2017 11:24:31 | LoadData | Parametre non trouvé

10/10/2017 11:24:31 | data | data trouve

10/10/2017 11:24:31 | CreatePDFChemin | ~/Reports/Accueil/AccuseRecption.rdlc | Chemin du fichier rdlc

10/10/2017 11:24:31 | CreatePDFChemin | Add DataSources ok

10/10/2017 11:24:31 | RunCreationPDF | \\PC\Impression

