28/09/2017 10:49:09 | SyncInvokesetFromWebPart | 0263910498794

28/09/2017 10:49:18 | Callback | localhost1818

28/09/2017 10:49:18 | RenderReport | loadData

28/09/2017 10:49:18 | RenderReport | 0263910498794

28/09/2017 10:49:18 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

28/09/2017 10:49:18 | SyncInvokeGetCsPrintFromWebPart | 0263910498794

28/09/2017 10:49:18 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

28/09/2017 10:49:19 | LoadData | 0263910498794

28/09/2017 10:49:19 | LoadData | données trouve

28/09/2017 10:49:19 | LoadData | Parametre non trouvé

28/09/2017 10:49:19 | data | data trouve

28/09/2017 10:49:19 | CreatePDFChemin | ~/Reports/Accueil/AccuseRecption.rdlc | Chemin du fichier rdlc

28/09/2017 10:49:19 | CreatePDFChemin | Add DataSources ok

28/09/2017 10:49:19 | RunCreationPDF | \\PC\Impression

28/09/2017 22:38:53 | SyncInvokesetFromWebPart | 02639223852692

28/09/2017 22:38:57 | Callback | localhost1818

28/09/2017 22:38:57 | Callback | localhost1818

28/09/2017 22:38:57 | RenderReport | loadData

28/09/2017 22:38:57 | RenderReport | loadData

28/09/2017 22:38:57 | RenderReport | loadData

28/09/2017 22:38:57 | RenderReport | 02639223852940

28/09/2017 22:38:57 | RenderReport | 02639223852922

28/09/2017 22:38:57 | RenderReport | 02639223852959

28/09/2017 22:38:57 | RenderReport | 02639223852692

28/09/2017 22:38:57 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

28/09/2017 22:38:57 | SyncInvokeGetCsPrintFromWebPart | 02639223852940

28/09/2017 22:38:57 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

28/09/2017 22:38:57 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

28/09/2017 22:38:57 | SyncInvokeGetCsPrintFromWebPart | Lecture debut


28/09/2017 22:38:57 | SyncInvokeGetCsPrintFromWebPart | 02639223852692

28/09/2017 22:38:57 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

28/09/2017 22:38:57 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

28/09/2017 22:38:58 | LoadData | 02639223852940

28/09/2017 22:38:58 | LoadData | données trouve

28/09/2017 22:38:58 | LoadData | données trouve

28/09/2017 22:38:58 | LoadData | 02639223852692

28/09/2017 22:38:58 | LoadData | 02639223852922

28/09/2017 22:38:58 | LoadData | données trouve

28/09/2017 22:38:58 | LoadData | Parametre non trouvé

28/09/2017 22:38:58 | LoadData | Parametre non trouvé

28/09/2017 22:38:58 | data | data trouve

28/09/2017 22:38:58 | data | data trouve

28/09/2017 22:38:58 | LoadData | Parametre trouvé

28/09/2017 22:38:58 | LoadData | Parametre trouvé

28/09/2017 22:38:58 | data | data trouve

28/09/2017 22:38:58 | CreatePDFChemin | ~/Reports/Accueil/DevisExtension.rdlc | Chemin du fichier rdlc

28/09/2017 22:38:58 | CreatePDFChemin | ~/Reports/Accueil/Devis.rdlc | Chemin du fichier rdlc

28/09/2017 22:38:58 | CreatePDFChemin | ~/Reports/Accueil/PrestationClient.rdlc | Chemin du fichier rdlc

28/09/2017 22:38:58 | CreatePDFChemin | ~/Reports/Accueil/ContratClient.rdlc | Chemin du fichier rdlc

28/09/2017 22:38:58 | CreatePDFChemin | Add DataSources ok

28/09/2017 22:38:58 | CreatePDFChemin | Add DataSources ok

28/09/2017 22:38:58 | RunCreationPDF | \\PC\Impression

