24/07/2017 13:05:18 | SyncInvokesetFromWebPart | 0263913517907

24/07/2017 13:05:26 | Callback | localhost1818

24/07/2017 13:05:26 | RenderReport | loadData

24/07/2017 13:05:26 | RenderReport | 0263913517907

24/07/2017 13:05:26 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

24/07/2017 13:05:27 | SyncInvokeGetCsPrintFromWebPart | 0263913517907

24/07/2017 13:05:27 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

24/07/2017 13:05:27 | LoadData | 0263913517907

24/07/2017 13:05:27 | LoadData | données trouve

24/07/2017 13:05:27 | LoadData | Parametre non trouvé

24/07/2017 13:05:27 | data | data trouve

24/07/2017 13:05:27 | CreatePDFChemin | ~/Reports/Accueil/LiaisonCompteur.rdlc | Chemin du fichier rdlc

24/07/2017 13:05:27 | CreatePDFChemin | Add DataSources ok

24/07/2017 13:05:27 | RunCreationPDF | \\PC\Impression

24/07/2017 15:25:49 | SyncInvokesetFromWebPart | 02639152545262

24/07/2017 15:25:53 | Callback | localhost1818

24/07/2017 15:25:53 | RenderReport | loadData

24/07/2017 15:25:53 | RenderReport | 02639152545262

24/07/2017 15:25:53 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

24/07/2017 15:25:53 | SyncInvokeGetCsPrintFromWebPart | 02639152545262

24/07/2017 15:25:53 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

24/07/2017 15:25:54 | LoadData | 02639152545262

24/07/2017 15:25:54 | LoadData | données trouve

24/07/2017 15:25:54 | LoadData | Parametre trouvé

24/07/2017 15:25:54 | data | data trouve data count: 2489

24/07/2017 15:25:57 | Page_Load | RenderReport retour ok

24/07/2017 15:25:57 | RunExportFile | \\PC\Impression|BalanceAuxilliaire2472017152557|xlsx

24/07/2017 15:26:03 | RunExportFile | ICIFINALLe processus ne peut pas accéder au fichier 'C:\Users\EDMSA\AppData\Local\Temp\074b10c6ab95481e9881ce168e2c3401.xls.tmp', car il est en cours d'utilisation par un autre processus.

24/07/2017 15:26:03 | ExportChemin | exception : Le processus ne peut pas accéder au fichier 'C:\Users\EDMSA\AppData\Local\Temp\074b10c6ab95481e9881ce168e2c3401.xls.tmp', car il est en cours d'utilisation par un autre processus.

24/07/2017 15:26:28 | Callback | Le processus ne peut pas accéder au fichier 'C:\Users\EDMSA\AppData\Local\Temp\074b10c6ab95481e9881ce168e2c3401.xls.tmp', car il est en cours d'utilisation par un autre processus.

24/07/2017 15:35:08 | SyncInvokesetFromWebPart | 02639153448852

24/07/2017 15:35:10 | Callback | localhost1818

24/07/2017 15:35:27 | RenderReport | loadData

24/07/2017 15:35:27 | RenderReport | 02639153448852

24/07/2017 15:35:35 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

24/07/2017 15:35:35 | SyncInvokeGetCsPrintFromWebPart | 02639153448852

24/07/2017 15:35:35 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

24/07/2017 15:35:35 | LoadData | 02639153448852

24/07/2017 15:35:35 | LoadData | données trouve

24/07/2017 15:35:35 | LoadData | Parametre trouvé

24/07/2017 15:35:48 | data | data trouve data count: 2489

24/07/2017 15:36:25 | Page_Load | RenderReport retour ok

24/07/2017 15:36:34 | RunExportFile | \\PC\Impression|BalanceAuxilliaire2472017153630|xlsx

24/07/2017 15:36:41 | RunExportFile | Générer byte

24/07/2017 15:36:44 | RunExportFile | Initialiser le filsStream

24/07/2017 15:36:46 | RunExportFile | Création du fichier

24/07/2017 15:36:52 | Page_Load | ICI3

24/07/2017 16:04:08 | SyncInvokesetFromWebPart | 026391646546

24/07/2017 16:04:09 | Callback | localhost1818

24/07/2017 16:04:10 | RenderReport | loadData

24/07/2017 16:04:10 | RenderReport | 026391646546

24/07/2017 16:04:10 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

24/07/2017 16:04:10 | SyncInvokeGetCsPrintFromWebPart | 026391646546

24/07/2017 16:04:10 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

24/07/2017 16:04:10 | LoadData | 026391646546

24/07/2017 16:04:10 | LoadData | données trouve

24/07/2017 16:04:10 | LoadData | Parametre trouvé

24/07/2017 16:04:10 | data | data trouve data count: 2489

24/07/2017 16:04:11 | Page_Load | RenderReport retour ok

24/07/2017 16:04:11 | RunExportFile | \\PC\Impression|BalanceAuxilliaire247201716411|xlsx

24/07/2017 16:04:29 | RunExportFile | Générer byte

24/07/2017 16:04:29 | RunExportFile | Initialiser le filsStream

24/07/2017 16:04:29 | RunExportFile | Création du fichier

24/07/2017 16:04:29 | Page_Load | ICI3

24/07/2017 17:15:56 | SyncInvokesetFromWebPart | 02639171555886

24/07/2017 17:16:00 | Callback | localhost1818

24/07/2017 17:16:04 | RenderReport | loadData

24/07/2017 17:16:04 | RenderReport | 02639171555886

24/07/2017 17:16:04 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

24/07/2017 17:16:04 | SyncInvokeGetCsPrintFromWebPart | 02639171555886

24/07/2017 17:16:04 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

24/07/2017 17:16:04 | LoadData | 02639171555886

24/07/2017 17:16:04 | LoadData | données trouve

24/07/2017 17:16:04 | LoadData | Parametre non trouvé

24/07/2017 17:16:04 | data | data trouve

24/07/2017 17:16:04 | CreatePDFChemin | ~/Reports/Accueil/LiaisonCompteur.rdlc | Chemin du fichier rdlc

24/07/2017 17:16:04 | CreatePDFChemin | Add DataSources ok

24/07/2017 17:16:04 | RunCreationPDF | \\PC\Impression

24/07/2017 17:20:23 | SyncInvokesetFromWebPart | 02639172023270

24/07/2017 17:20:23 | Callback | localhost1818

24/07/2017 17:20:24 | RenderReport | loadData

24/07/2017 17:20:24 | RenderReport | 02639172023270

24/07/2017 17:20:24 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

24/07/2017 17:20:24 | SyncInvokeGetCsPrintFromWebPart | 02639172023270

24/07/2017 17:20:24 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

24/07/2017 17:20:24 | LoadData | 02639172023270

24/07/2017 17:20:24 | LoadData | données trouve

24/07/2017 17:20:24 | LoadData | Parametre non trouvé

24/07/2017 17:20:24 | data | data trouve

24/07/2017 17:20:24 | CreatePDFChemin | ~/Reports/Accueil/LiaisonCompteur.rdlc | Chemin du fichier rdlc

24/07/2017 17:20:24 | CreatePDFChemin | Add DataSources ok

24/07/2017 17:20:24 | RunCreationPDF | \\PC\Impression

