27/07/2017 10:52:12 | SyncInvokesetFromWebPart | 0330810521240

27/07/2017 10:52:16 | Callback | localhost1818

27/07/2017 10:52:19 | RenderReport | loadData

27/07/2017 10:52:19 | RenderReport | 0330810521240

27/07/2017 10:52:19 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

27/07/2017 10:52:19 | SyncInvokeGetCsPrintFromWebPart | 0330810521240

27/07/2017 10:52:19 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

27/07/2017 10:52:20 | LoadData | 0330810521240

27/07/2017 10:52:20 | LoadData | données trouve

27/07/2017 10:52:20 | LoadData | Parametre trouvé

27/07/2017 10:52:20 | data | data trouve

27/07/2017 10:52:20 | CreatePDFChemin | ~/Reports/Caisse/ListeDesTransactions.rdlc | Chemin du fichier rdlc

27/07/2017 10:52:22 | CreatePDFChemin | pUser : System.Collections.Specialized.StringCollection  pDateFin : System.Collections.Specialized.StringCollection | Set Parameters

27/07/2017 10:52:22 | CreatePDFChemin | Add DataSources ok

27/07/2017 10:52:22 | RunCreationPDF | \\PC\Impression

27/07/2017 15:44:23 | SyncInvokesetFromWebPart | 0131215442376

27/07/2017 15:44:29 | Callback | localhost1818

27/07/2017 15:44:36 | RenderReport | loadData

27/07/2017 15:44:36 | RenderReport | 0131215442376

27/07/2017 15:44:36 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

27/07/2017 15:44:37 | SyncInvokeGetCsPrintFromWebPart | 0131215442376

27/07/2017 15:44:37 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

27/07/2017 15:44:37 | LoadData | 0131215442376

27/07/2017 15:44:37 | LoadData | Aucune données

27/07/2017 15:44:37 | LoadData | Parametre non trouvé

27/07/2017 15:44:37 | data | data Aucun

27/07/2017 15:44:37 | RunCreationPDF | \\PC\Impression

27/07/2017 15:44:37 | RunCreationPDF | La source de la définition du rapport n'a pas été spécifiée.

27/07/2017 15:44:53 | SyncInvokesetFromWebPart | 01312154452806

27/07/2017 15:44:53 | Callback | localhost1818

27/07/2017 15:44:55 | RenderReport | loadData

27/07/2017 15:44:55 | RenderReport | 01312154452806

27/07/2017 15:44:55 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

27/07/2017 15:44:55 | SyncInvokeGetCsPrintFromWebPart | 01312154452806

27/07/2017 15:44:55 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

27/07/2017 15:44:55 | LoadData | 01312154452806

27/07/2017 15:44:55 | LoadData | données trouve

27/07/2017 15:44:56 | LoadData | Parametre non trouvé

27/07/2017 15:44:56 | data | data trouve

27/07/2017 15:44:56 | CreatePDFChemin | ~/Reports/Index/EnqueteMt.rdlc | Chemin du fichier rdlc

27/07/2017 15:44:56 | CreatePDFChemin | Add DataSources ok

27/07/2017 15:44:56 | RunCreationPDF | \\PC\Impression

27/07/2017 15:46:22 | SyncInvokesetFromWebPart | 01312154622844

27/07/2017 15:46:22 | Callback | localhost1818

27/07/2017 15:46:27 | RenderReport | loadData

27/07/2017 15:46:28 | RenderReport | 01312154622844

27/07/2017 15:46:28 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

27/07/2017 15:46:28 | SyncInvokeGetCsPrintFromWebPart | 01312154622844

27/07/2017 15:46:28 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

27/07/2017 15:46:28 | LoadData | 01312154622844

27/07/2017 15:46:28 | LoadData | données trouve

27/07/2017 15:46:28 | LoadData | Parametre non trouvé

27/07/2017 15:46:28 | data | data trouve

27/07/2017 15:46:28 | CreatePDFChemin | ~/Reports/Index/EnqueteMt.rdlc | Chemin du fichier rdlc

27/07/2017 15:46:28 | CreatePDFChemin | Add DataSources ok

27/07/2017 15:46:28 | RunCreationPDF | \\PC\Impression

27/07/2017 18:07:04 | SyncInvokesetFromWebPart | 013121873944

27/07/2017 18:07:05 | Callback | localhost1818

27/07/2017 18:07:08 | RenderReport | loadData

27/07/2017 18:07:08 | RenderReport | 013121873944

27/07/2017 18:07:08 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

27/07/2017 18:07:08 | SyncInvokeGetCsPrintFromWebPart | 013121873944

27/07/2017 18:07:08 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

27/07/2017 18:07:09 | LoadData | 013121873944

27/07/2017 18:07:09 | LoadData | données trouve

27/07/2017 18:07:09 | LoadData | Parametre non trouvé

27/07/2017 18:07:09 | data | data trouve

27/07/2017 18:07:09 | CreatePDFChemin | ~/Reports/Index/EnqueteMt.rdlc | Chemin du fichier rdlc

27/07/2017 18:07:09 | CreatePDFChemin | Add DataSources ok

27/07/2017 18:07:09 | RunCreationPDF | \\PC\Impression

