19/07/2017 11:10:53 | SyncInvokesetFromWebPart | 02805111052262

19/07/2017 11:11:24 | Callback | localhost1818

19/07/2017 11:11:24 | RenderReport | loadData

19/07/2017 11:11:24 | RenderReport | 02805111052262

19/07/2017 11:11:24 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

19/07/2017 11:11:24 | SyncInvokeGetCsPrintFromWebPart | 02805111052262

19/07/2017 11:11:24 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

19/07/2017 11:11:24 | LoadData | 02805111052262

19/07/2017 11:11:25 | LoadData | données trouve

19/07/2017 11:11:25 | LoadData | Parametre trouvé

19/07/2017 11:11:25 | data | data trouve data count: 4450

19/07/2017 11:11:29 | Page_Load | RenderReport retour ok

19/07/2017 11:11:29 | RunExportFile | \\PC\Impression|BalanceAuxilliaire1972017111129|xlsx

19/07/2017 11:11:33 | RunExportFile | Générer byte

19/07/2017 11:11:33 | RunExportFile | Initialiser le filsStream

19/07/2017 11:11:33 | RunExportFile | Création du fichier

19/07/2017 11:11:33 | Page_Load | ICI3

19/07/2017 11:18:03 | SyncInvokesetFromWebPart | 02805111727620

19/07/2017 11:18:20 | Callback | localhost1818

19/07/2017 11:18:20 | RenderReport | loadData

19/07/2017 11:18:20 | RenderReport | 02805111727620

19/07/2017 11:18:20 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

19/07/2017 11:18:20 | SyncInvokeGetCsPrintFromWebPart | 02805111727620

19/07/2017 11:18:20 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

19/07/2017 11:18:20 | LoadData | 02805111727620

19/07/2017 11:18:20 | LoadData | données trouve

19/07/2017 11:18:20 | LoadData | Parametre trouvé

19/07/2017 11:18:20 | data | data trouve data count: 4450

19/07/2017 11:18:21 | Page_Load | RenderReport retour ok

19/07/2017 11:18:21 | RunExportFile | \\PC\Impression|BalanceAuxilliaire1972017111821|xlsx

19/07/2017 11:18:24 | RunExportFile | Générer byte

19/07/2017 11:18:24 | RunExportFile | Initialiser le filsStream

19/07/2017 11:18:24 | RunExportFile | Création du fichier

19/07/2017 11:18:24 | Page_Load | ICI3

19/07/2017 12:21:41 | SyncInvokesetFromWebPart | 02805121140619

19/07/2017 12:21:49 | Callback | localhost1818

19/07/2017 12:21:50 | RenderReport | loadData

19/07/2017 12:21:50 | RenderReport | 02805121140619

19/07/2017 12:21:53 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

19/07/2017 12:21:53 | SyncInvokeGetCsPrintFromWebPart | 02805121140619

19/07/2017 12:21:53 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

19/07/2017 12:21:54 | LoadData | 02805121140619

19/07/2017 12:21:54 | LoadData | données trouve

19/07/2017 12:21:58 | LoadData | Parametre trouvé

19/07/2017 12:21:58 | data | data trouve data count: 4450

19/07/2017 12:22:01 | Page_Load | RenderReport retour ok

19/07/2017 12:22:01 | RunExportFile | \\PC\Impression|BalanceAuxilliaire197201712221|xlsx

19/07/2017 12:22:05 | RunExportFile | Générer byte

19/07/2017 12:22:06 | RunExportFile | Initialiser le filsStream

19/07/2017 12:22:06 | RunExportFile | Création du fichier

19/07/2017 12:22:06 | Page_Load | ICI3

19/07/2017 13:15:54 | SyncInvokesetFromWebPart | 02805131550570

19/07/2017 13:15:56 | Callback | localhost1818

19/07/2017 13:15:56 | RenderReport | loadData

19/07/2017 13:15:56 | RenderReport | 02805131550570

19/07/2017 13:15:56 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

