15/07/2017 14:51:13 | SyncInvokesetFromWebPart | 01312145111445

15/07/2017 14:51:28 | Callback | localhost1818

15/07/2017 14:51:30 | RenderReport | loadData

15/07/2017 14:51:30 | RenderReport | 01312145111445

15/07/2017 14:51:30 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

15/07/2017 14:51:30 | SyncInvokeGetCsPrintFromWebPart | 01312145111445

15/07/2017 14:51:30 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

15/07/2017 14:51:30 | LoadData | 01312145111445

15/07/2017 14:51:30 | LoadData | données trouve

15/07/2017 14:51:30 | LoadData | Parametre trouvé

15/07/2017 14:51:30 | data | data trouve data count: 12

15/07/2017 14:51:34 | Page_Load | RenderReport retour ok

15/07/2017 14:51:34 | RunExportFile | \\PC\Impression|DonnesStatistiqueDemande1572017145134|xlsx

15/07/2017 14:51:39 | RunExportFile | Générer byte

15/07/2017 14:51:39 | RunExportFile | Initialiser le filsStream

15/07/2017 14:51:39 | RunExportFile | Création du fichier

15/07/2017 14:51:39 | Page_Load | ICI3

15/07/2017 18:35:12 | SyncInvokesetFromWebPart | 01312183511866

15/07/2017 18:35:20 | Callback | localhost1818

15/07/2017 18:35:21 | RenderReport | loadData

15/07/2017 18:35:21 | RenderReport | 01312183511866

15/07/2017 18:35:21 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

15/07/2017 18:35:21 | SyncInvokeGetCsPrintFromWebPart | 01312183511866

15/07/2017 18:35:21 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

15/07/2017 18:35:21 | LoadData | 01312183511866

15/07/2017 18:35:21 | LoadData | données trouve

15/07/2017 18:35:21 | LoadData | Parametre trouvé

15/07/2017 18:35:21 | data | data trouve data count: 24

15/07/2017 18:35:24 | Page_Load | RenderReport retour ok

15/07/2017 18:35:24 | RunExportFile | \\PC\Impression|DonnesStatistiqueDemande1572017183524|xlsx

15/07/2017 18:35:28 | RunExportFile | Générer byte

15/07/2017 18:35:28 | RunExportFile | Initialiser le filsStream

15/07/2017 18:35:28 | RunExportFile | Création du fichier

15/07/2017 18:35:28 | Page_Load | ICI3

