06/04/2018 02:54:27 | SyncInvokesetFromWebPart | 0229925427193

06/04/2018 02:54:31 | Callback | localhost1818

06/04/2018 02:54:31 | RenderReport | loadData

06/04/2018 02:54:31 | RenderReport | 0229925427193

06/04/2018 02:54:31 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

06/04/2018 02:54:31 | SyncInvokeGetCsPrintFromWebPart | 0229925427193

06/04/2018 02:54:31 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

06/04/2018 02:54:31 | LoadData | 0229925427193

06/04/2018 02:54:32 | LoadData | données trouve

06/04/2018 02:54:32 | LoadData | Parametre non trouvé

06/04/2018 02:54:32 | data | data trouve

06/04/2018 02:54:32 | CreatePDFChemin | ~/Reports/Accueil/AccuseRecption.rdlc | Chemin du fichier rdlc

06/04/2018 02:54:32 | CreatePDFChemin | Add DataSources ok

06/04/2018 02:54:32 | RunCreationPDF | \\PC\Impression

06/04/2018 03:02:20 | SyncInvokesetFromWebPart | 014853220538

06/04/2018 03:02:21 | Callback | localhost1818

06/04/2018 03:02:21 | RenderReport | loadData

06/04/2018 03:02:21 | RenderReport | 014853220538

06/04/2018 03:02:21 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

06/04/2018 03:02:21 | SyncInvokeGetCsPrintFromWebPart | 014853220538

06/04/2018 03:02:21 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

06/04/2018 03:02:21 | LoadData | 014853220538

06/04/2018 03:02:21 | LoadData | données trouve

06/04/2018 03:02:21 | LoadData | Parametre trouvé

06/04/2018 03:02:21 | data | data trouve

06/04/2018 03:02:21 | CreatePDFChemin | ~/Reports/Facturation/FactureSimple.rdlc | Chemin du fichier rdlc

06/04/2018 03:02:22 | CreatePDFChemin | TypeEdition : System.Collections.Specialized.StringCollection  TypeEdition : System.Collections.Specialized.StringCollection | Set Parameters

06/04/2018 03:02:22 | CreatePDFChemin | Add DataSources ok

06/04/2018 03:02:22 | RunCreationPDF | \\PC\Impression

06/04/2018 04:25:11 | SyncInvokesetFromWebPart | 0229942511413

06/04/2018 04:25:15 | Callback | localhost1818

06/04/2018 04:25:16 | RenderReport | loadData

06/04/2018 04:25:16 | RenderReport | 0229942511413

06/04/2018 04:25:16 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

06/04/2018 04:25:16 | SyncInvokeGetCsPrintFromWebPart | 0229942511413

06/04/2018 04:25:16 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

06/04/2018 04:25:17 | LoadData | 0229942511413

06/04/2018 04:25:17 | LoadData | données trouve

06/04/2018 04:25:17 | LoadData | Parametre non trouvé

06/04/2018 04:25:17 | data | data trouve

06/04/2018 04:25:18 | CreatePDFChemin | ~/Reports/Accueil/AccuseRecption.rdlc | Chemin du fichier rdlc

06/04/2018 04:25:18 | CreatePDFChemin | Add DataSources ok

06/04/2018 04:25:18 | RunCreationPDF | \\PC\Impression

