01/03/2019 16:51:40 | SyncInvokesetFromWebPart | 02299165139605

01/03/2019 16:51:43 | Callback | localhost1818

01/03/2019 16:51:44 | RenderReport | loadData

01/03/2019 16:51:44 | RenderReport | 02299165139605

01/03/2019 16:51:44 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

01/03/2019 16:51:44 | SyncInvokeGetCsPrintFromWebPart | 02299165139605

01/03/2019 16:51:44 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

01/03/2019 16:51:44 | LoadData | 02299165139605

01/03/2019 16:51:44 | LoadData | données trouve

01/03/2019 16:51:44 | LoadData | Parametre non trouvé

01/03/2019 16:51:44 | data | data trouve

01/03/2019 16:51:44 | CreatePDFChemin | ~/Reports/Accueil/AccuseRecption.rdlc | Chemin du fichier rdlc

01/03/2019 16:51:44 | CreatePDFChemin | Add DataSources ok

01/03/2019 16:51:44 | RunCreationPDF | \\IV-DEV-LAP-001\Impression

01/03/2019 16:59:34 | SyncInvokesetFromWebPart | 01312165933231

01/03/2019 16:59:34 | Callback | localhost1818

01/03/2019 16:59:34 | RenderReport | loadData

01/03/2019 16:59:34 | RenderReport | 01312165933231

01/03/2019 16:59:34 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

01/03/2019 16:59:34 | SyncInvokeGetCsPrintFromWebPart | 01312165933231

01/03/2019 16:59:34 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

01/03/2019 16:59:34 | LoadData | 01312165933231

01/03/2019 16:59:34 | LoadData | données trouve

01/03/2019 16:59:34 | LoadData | Parametre non trouvé

01/03/2019 16:59:34 | data | data trouve

01/03/2019 16:59:34 | CreatePDFChemin | ~/Reports/Accueil/AccuseRecption.rdlc | Chemin du fichier rdlc

01/03/2019 16:59:34 | CreatePDFChemin | Add DataSources ok

01/03/2019 16:59:34 | RunCreationPDF | \\IV-DEV-LAP-001\Impression

