06/03/2018 18:57:13 | LogException | Une erreur liée au réseau ou spécifique à l'instance s'est produite lors de l'établissement d'une connexion à SQL Server. Le serveur est introuvable ou n'est pas accessible. Vérifiez que le nom de l'instance est correct et que SQL Server est configuré pour autoriser les connexions distantes. (provider: Named Pipes Provider, error: 40 - Impossible d'ouvrir une connexion à SQL Server)

06/03/2018 18:57:13 | returnEnumereWrapper | Échec du fournisseur sous-jacent sur Open.

06/03/2018 19:00:14 | LogException | Expiration du délai d'attente. Le délai d'attente s'est écoulé avant obtention d'une connexion du pool. Ceci est probablement dû au fait que toutes les connexions regroupées sont en cours d'utilisation et que la taille maximale du pool a été atteinte.

06/03/2018 19:00:14 | returnEnumereWrapper | Échec du fournisseur sous-jacent sur Open.

06/03/2018 19:01:54 | LogException | Dépassement du délai d’attente

06/03/2018 19:01:54 | LogException | Le délai d'attente pour la connexion expiré. Le délai d'attente s'est écoulé lors de la tentative de consommation de l'accusé réception de la poignée de main de préconnexion. Cela peut être dû à un échec de la poignée de main de préconnexion ou au fait que le serveur n'a pas pu répondre dans les temps.  Le temps écoulé lors de la tentative de connexion à ce serveur était de - [Préconnexion] initialisation=14812; poignée de main=186; 

06/03/2018 19:01:54 | returnEnumereWrapper | Échec du fournisseur sous-jacent sur Open.

